name,lastrevid
Lehte Hainsalu,1063515288
Carl Robert Jakobson,1109789577
August Janson,1053019919
Elmar Järvesoo,1038769527
Sergei Jürgens,1028657999
Karl Kark,1098677715
Aleksander Kask,1048418741
Harald Laksberg,1092962963
Jüri Liim,1093563524
Jaan Lippmaa,1108623962
Aino-Eevi Lukas,1112291314
Tiit Matsulevitš,1083062314
Friedrich Niggol,1098878036
Arvo Niitenberg,1091114797
Eha Pärn,1058679187
Verner Hans Puurand,1082103275
Theodor Rõuk,1114964021
Arved Ruusa,1098879983
Toomas Sildmäe,1062612379
Heino Sisask,1084444093
Eduard von Stackelberg,1072240932
Aleksander Stern,1098161404
Ants Tamme,1046759279
Kirill Teiter,1092152864
Georg Trašanov,1093236480
Artur Vallner,1063815429
Ants Veetõusme,1108465393
Atnafu Abate,1091330135
Mohamed Abdulghani,1015964664
Almayahu Haile,1063011807
Juneidi Basha,1107047712
Tadesse Birru,1108621571
Darge Sahle Selassie,1099573513
Asrat Desta,1056728307
Ergoge Tesfaye,1059539493
Fitsum Assefa,1085929590
Alimirah Hanfare,1115409449
Mawlid Hayir,1079991048
Adem Ibrahim,1015964623
Kitaw Ejigu,1115575412
Wondimu Kurta,1108035809
Lencho Letta,1107968444
Mogus Wolde Mikael,1112916781
Jawar Mohammed,1094608483
Mulu Solomon,1106496565
Sophia Yilma,1026135640
Su'ad Ahmed Farah,857925192
Tekle Wolde Hawaryat,1095575093
Teklewold Atnafu,1101239492
Tsegaye Mamo,1109728586
Andargachew Tsege,1075086484
Erhart Aten,1104278667
Gideon Doone,1104278830
John Ehsa,1112791021
Jack Fritz,1077106459
Tony Ganngiyan,1109390620
Gerson Jackson,1112222920
Lyndon Jackson,1072343229
John Mangefel,1104284808
Masao Nakayama,1054456354
Wesley Simina,1105544125
Ansito Walter,993631245
Robert Weilbacher,1102379216
Strik Yoma,1086142871
Nelson Delailomaloma,1066885088
Manilal Doctor,1026524002
Ema Druavesi,1081755736
James Fong,1096907368
William Goodsir,1027605353
Hafizud Deen Khan,1114460174
Apenisa Kurisaqila,1021053596
Injimo Managreve,705254033
Metuisela Mua,1079124027
Pio Tabaiwalu,1101202238
Saula Telawa,1092280528
Samuela Vunivalu,1005271427
Josaia Waqabaca,904395471
Tanya Waqanika,1050607695
Markku Andersson,1043222611
Erik Berg (politician),1112445645
Arthur Brofeldt,1050506093
Anders Chydenius,1115830540
Selim Ekbom,997338039
Erik Fleming (councilor),1066740982
Klaus Fleming,1088318870
Jakob Gadolin,1097260549
Mikhail Fyodorovich Ganskau,1051760370
Carl Axel Gottlund,1100912151
Lars Gabriel von Haartman,1113826495
Ilkka Hakalehto,1106130121
Max Jakobson,1111495545
Fritz Arthur Jusélius,1019712970
Aleksander von Kothen,1050404318
Paul Kraatz,1089806349
Antti Kuosmanen,1093737619
Carl Fabian Langenskiöld,1095875877
Reino Ragnar Lehto,1086802978
Keijo Liinamaa,1082695153
Verner Lindberg,1113086506
Olavi Mäenpää,1113275201
Nils Mustelin,1101309871
Kirsi Piha,1011166320
Toivo Topias Pohjala,1113515295
Karl August Ramsay,1051401383
Elisabeth Rehn,1096605773
Eino S. Repo,1050674268
Matti Saarinen,1099827826
Helvi Sipilä,1099355206
Georg Magnus Sprengtporten,1113778414
Jacob Magnus Sprengtporten,1113778594
Aleksander Strandman,1050404209
Christoffer Taxell,1096094038
Heikki Heikinpoika Vaanila,1080391577
Jaana Vasama,1095884412
Miranda Vuolasranta,1106633718
Nils Westermarck,1115832009
Anders Wirenius,1049923720
Konni Zilliacus (senior),951511687
Jean Poldo d'Albenas,1067933042
Édouard André (art collector),1108055042
François-Gabriel d'Angeac,1063028734
Auguste Louis Albéric d'Arenberg,1100525208
Hubert Astier,1104817709
Raymond-Max Aubert,1082744437
Pierre-François Audry de Puyraveau,1041685091
Antoine Avinin,1114330738
Henri Barbet,1058537909
Monique Barbut,1033584307
Umberto Battist,1100351289
Jean-François Bazin,1103928744
"Marc de Beauvau, Prince of Craon",1103625797
Daniel Béguin,1092313908
Soheib Bencheikh,1076962736
Jean-Pierre Berçot,1014505332
Michel Berson,1035977192
Georges Berthoin,1081106442
Bertrand de La Chesnais,1082303676
Bertrand Nogaro,1082745594
Franck Biancheri,1105481883
Olivier Bianchi,1110744540
Adolphe Billault,1104724730
Jean Bonaventure Birotteau,1100907137
Pierre Philibert de Blancheton,1008128433
Antoine Blondel,1016683924
Roland Bondonny,1095782494
Gian Paolo Borghetti,1044208725
Élisabeth Borne,1115491013
Paul Boudet,1097825452
Gérard Boulanger,1097825550
Albert Bourderon,1067038452
François Bourdon,1029331850
Anne du Bourg,1094440098
Raphaël Bouton,1105641399
Marie Bové,962575919
"Alexandre Jean-Baptiste de Boyer, Marquis d'Éguilles",1078677061
Pierre Étienne Bourgeois de Boynes,782996380
Adolphe Brezet,1104663398
Franck Briffaut,1103217675
Barnabé Brisson,1093929154
"Victor-François, 8th duc de Broglie",1084041714
Gilberte Brossolette,1070079491
Pierre Broussel,1050634478
Michel Bruguier,1082745423
Dominique Bucchini,1061804332
Bureau de La Rivière,1105433275
Étienne-Laurent-Pierre Burnel,1082744694
Jean Capelle (politician),1067067425
Léon Carcassonne,1007233683
Pierre Cary,1050495074
Ignace Caseneuve,1019146161
Charles Cassal,924509169
Jacques la Caze,1109449561
Max-Théodore Cerfberr,1039643142
Robert Chapuis,1107371389
Jean Charbonnel,969097582
Jean Auguste de Chastenet de Puységur,1098455433
Pierre-Jean-Baptiste Chaussard,982872895
Henri Philippe de Chauvelin,1067874732
Armand Chouffet,1085636232
Pierre-Suzanne-Augustin Cochin,1026749529
Colette Codaccioni,1014506054
Édouard Colbert de Villacerf,1101166764
Maurice Colrat,1035898437
Honoré Commeurec,1082414528
Corinne Bouchoux,1096232063
Jean Cotereau,1010731404
Paul Cotte,1050652500
Georges Coulon,1097830070
Michel Craplet,1087935075
Jacques Antoine Creuzé-Latouche,1097830813
Pierre Daru,1084279564
Yves de Daruvar,1113513795
Claude Alphonse Delangle,1097831850
Victor Denain,1005635886
Ernest Denis,1084137789
Louis Grégoire Deschamps Destournelles,1011997337
Martial Borye Desrenaudes,1067855906
Éric Di Meco,1101972691
Henry Dorgères,1056023413
Nicolas du Bosc,1067934529
Guillaume du Tillot,948072002
Antoine du Verdier,1082744106
Émile-Jules Dubois,1076271376
Lucien-Rene Duchesne,851199022
Théodore Ducos,1058537128
Édouard Dunglas,1067926801
Olivier Dutheillet de Lamothe,1094204364
Jean-Baptiste Duvergier,1097834473
"Claude Louis d'Espinchal, marquis de Massiac",1101896910
Auguste Louis Antoine Fabre,957313460
Jules-François-Paul Fauris de Saint-Vincens,1105667020
Nasser Ramdane Ferradj,1100351389
Lucien Finel,1110536778
Jacques Fournier (government official),1098598167
François II de Beauharnais,903067760
Jean Frydman,1100352027
Xavier de Fürst,1056703720
Charles Ganilh,1067808226
Agénor de Gasparin,1082162174
Joseph Matthias Gérard de Rayneval,997745594
Charles Le Bègue de Germiny,1082744148
Roland Giberti,955452341
Georges Ginoux,1096065024
Brigitte Girardin,1082744185
Olivier Giscard d'Estaing,1105690313
François Louis Auguste Goiran,1082744476
Marie-Thérèse Goutmann,1026474883
Madeleine de Grandmaison,1056746059
Ernest Granger,1076592057
Jean-Henry-Louis Greffulhe,1112230604
Louis Grillot,1106686659
Alain Griset,1089002351
Jules Gros (journalist),1093401635
Odette Grzegrzulka,1104771590
Guillaume IV de Melun,1067877319
Joseph-Ignace Guillotin,1111272997
Joseph Guinard,959651896
Maurice d'Hartoy,995050241
Guy Hascoët,1056747043
"Charles Louis Bernard de Cléron, comte d'Haussonville",1067846753
Paul Hay du Chastelet,997682962
Louis-Étienne Héricart de Thury,1075236229
Édouard Hervé,1084277287
Philippe Hervieu,1092778353
Prosper Hochet,1021076730
"Charles Louis Huguet, marquis de Sémonville",1081082798
Georges Humann,1082744637
Philippe Hurault de Cheverny,1093422949
Max Hymans,1044123593
Laurent Jacobelli,1114706891
Jean-Pierre Gorges,1106117826
Armand Félix Marie Jobbé-Duval,1082744075
Édouard Jonas,1042856307
Jean Kaltenbach,1100351334
Philippe Karsenty,1114892620
Pierre-Charles Krieg,1102306848
Étienne de La Grange,1067940807
"François-René de La Tour du Pin Chambly, marquis de La Charce",1067646077
Guillaume-Xavier Labbey de Pompières,1041683862
Joachim Labrouche,1056915263
Suzanne Lacore,1110950805
Jean-Baptiste Lacoste,1056915372
Chrétien François de Lamoignon de Basville,1042575253
Antoine-Adrien Lamourette,1068403285
Hyacinthe Gaëtan de Lannion,1083146472
Louis Lareng,1108483794
Hippolyte Laroche,1016084594
Marc David Alba Lasource,1079932605
Lucien Le Foyer,1097841196
Jean Le Mercier,1067920653
Patrick Leclercq,1094044508
Adrien de Lezay-Marnésia,1067876372
Gustave Lhopiteau,1047972863
Eric Loiselet,1082744804
David Lorion,1094475527
Charles Luca,1056918597
Jean-Baptiste Mailhe,1106110853
Jacques-Antoine Manuel,1092028739
Jacques Marquet de Montbreton de Norvins,1034252351
Damien de Martel,1087438466
Henri Martin (winemaker),1067813083
Philippe Massoni,1097454062
Jean Mattéoli,1095618313
Charlemagne de Maupas,1058537657
Jeanne Mélin,1067041266
Émile-Justin Menier,1107107209
Paul Mentré,1115036455
Jean Ernest Mercier,1060089304
Dominique Meyer,1096058170
Daniel Mio,1101221150
Bon-Adrien Jeannot de Moncey,1058640914
Joseph François Augustin Monneron,883964038
Gérard Montassier,1100353450
Guillaume-Isidore Baron de Montbel,1011997346
Jean Baptiste Antoine Auget de Montyon,1067722137
Yvon Morandat,1107595141
Bernard Morel (economist),1098804764
Alex Moscovitch,1069907006
Ilham Moussaïd,1099922454
Lionel de Moustier,1082391687
Simon Nora,1082168099
Albert Ollivier,1084584916
Érik Orsenna,1081472130
Louis Pailhas,1112614011
Philippe Paolantoni,1100822300
Alexandre Parodi,1114330360
Pierre Pasquini,1049369444
Constantin Pecqueur,1107566909
Hélène Pelosse,1040666223
François-Xavier de Peretti,1050652439
Joseph Périer,1111580311
Victor Perret,1014506148
Marc Perrin de Brichambaut,1095867371
Marcel Petiot,1111961176
Henri Peyroux de la Coudrenière,939917134
"Louis Phélypeaux, comte de Saint-Florentin",1067590832
"Louis Phélypeaux, marquis de La Vrillière",1067707780
"Louis Phélypeaux, seigneur de La Vrillière",1067769050
Hajasoa Vololona Picard,1070552905
Louis Pierna,1106902703
Pierre Ferri-Pisani,1105248262
Ernest Pinard,1097917556
Christophe Porquier,1070642143
Antoine Portail,1034304794
Michel Pouzol,1050936152
Henri Pozzi,1044712445
Rodolphe Prager,1083697354
Francis de Pressensé,1109074521
Angèle Préville,1090314219
Gabriel Puaux,1014505899
"Jean-Pierre Casimir de Marcassus, Baron de Puymaurin",1028266238
Jean-Marie Rausch,1112230445
Jean Reboul,1078446564
Marie Roch Louis Reybaud,1033977038
René Ribière,1041685164
Antoine Richard du Cantal,1014225041
Marthe Richard,1099050150
Philippe Rio,1104409292
Jean Gabriel Maurice Rocques,1084299616
Joseph Romain-Desfossés,1104367647
José Rossi,1057534232
Sandrine Rousseau,1114415628
Alexandre Rousselin de Saint-Albin,1084300380
Ernest de Royer,1097929651
"Armand Charles Emmanuel Guignard, comte de Saint-Priest",1100727957
Jean Sauvage,1026702472
Jean-Baptiste Say,1115511726
Lucile Schmid,1114853737
Michel Souplet,1102390019
Anton Carl Ludwig von Tabouillot,968436799
Claude Taleb,1057709881
François-Alexandre Tardiveau,1097931338
Jean Tavernier,1102536154
Pierre Edmond Teisserenc de Bort,1082741642
François Auguste de Thou,1068356846
Jacques-Alexis Thuriot de la Rosière,1079933261
Lionel Tivoli,1111142368
Jean-Michel Tobie,1057711903
Charles de Varigny,1074726624
Henri-Auguste-Georges du Vergier,1093617817
Gaston Vidal,985470476
Jean-Paul-Alban Villeneuve-Barcement,1101593671
Adolphe Vuitry,1104724822
Laurent Wetzel,1100263797
Charles Emile Wickersheimer,1055444494
Fred Zeller,1084196242
Éric Zemmour,1112562821
Jean-Marie Zoellé,1104091453
Jean Zyromski,1086798723
Mathurin Anghiley,1025291924
Jean-Hilaire Aubame,1105996544
Paul Gondjout,1105996818
Erlyne Antonella Ndembet,1100454050
Estelle Ondo,1107214410
Ida Reteno Assonouet,1053608075
Abou Karamba Kassamba,1109005014
Ajaaratou Satang Jow,1096298330
Amie Bojang-Sissoho,1088360793
Abdoulie Bojang,1009847235
Buba Samura,1109005820
Fatou Sanyang Kinteh,1112551531
Mai Fatty,1113100028
Omar Gassama,1061724992
Modou Bamba Gaye,1009847195
Amadou Scattred Janneh,1059365217
Fabakary Jatta,1086017014
Joseph Henry Joof,1099209990
Kunda Kamara,1113498194
Lucretia St. Clair Joof,1063074971
Muhammed Magassy,1009849522
Basiru Mahoney,1099211698
Alieu Badara Njie,1021130685
Momodou Sabally,1091668111
Lamin Saine,1018074300
Pap Cheyassin Secka,1112373531
Alieu Badara Saja Taal,1112551276
Zaur Ardzinba,1089310400
Gennadi Berulava,919556858
Mikhail Bgazhba,1060118428
Samson Chanba,963109084
Efrem Eshba,1001303004
Almas Japua,949821890
Batal Kobakhia,944899943
Valerian Kobakhia,1113808003
Nestor Lakoba,1105224625
Sumbat Saakian,1046266028
Shota Shamatava,723736482
Bagrat Shinkuba,1084452914
Werner E. Ablaß,1100348263
Karl Gustav Ackermann,1000117915
Shqiprim Arifi,1082363143
Rudi Arndt,1107533445
Rudolf Bahro,1107876591
Otto Ballerstedt,1113203053
Joachim Otto von Bassewitz,1093387234
Bruno Baum,1084699735
Karl Theodor Bayrhoffer,1083425343
Otto Beck,961688162
Klaus Bernbacher,1043818216
Gerhard Besier,1085857797
Georg von Blumenthal,1069224768
Johann Christian von Boyneburg,1068219706
Kristin Brinker,1079038395
Rudolf Brinkmann (economist),1102950546
Wolfram Brück,1112976357
Heinrich von Brühl,1108940872
Ignatz Bubis,1097419085
Stephan von Dassel,1105055233
Karamba Diaby,1112293494
John Ehret,1105466617
Karl Eichfeld,1074867565
Dieter Engels,1096417332
Christian Wilhelm Karl Ewald,721838555
Christian August von Eyben,1034821660
Georg Fein,1083507112
Heinrich Fleißner,1069865479
Friedrich Johannes Frommann,1093387022
Paul Fugger von Kirchberg und Weißenhorn,961559177
Günter Gaus,1101404633
Friedrich von Gentz,1115440680
Tobias Goldschmidt,1102569953
Carl Heinrich Wilhelm Hagen,1089339965
Gert Haller,1068252041
Karl Harrer,1028295986
Roland Heintze,1068223262
Hermann Heller (legal scholar),1095832234
Jakob Heller,1068264022
Ernst Henrici,990661354
Georg Herber,1063336993
Rudolf Hilf,1065378015
Joseph Hillebrand,1085956099
Ulrike Höfken,1085014516
Herwart von Hohenburg,1044168190
"Franz Christoph Anton, Count of Hohenzollern-Sigmaringen",1064760958
Hermann Eduard von Holst,1085957484
Friedrich von Holstein,1111872470
Martin Horn (politician),1046681559
Christoph Ernst von Houwald,1082762897
Bernd Hüttemann,1103984958
Emilie Kiep-Altenloh,1084967295
Johann Ludwig Klüber,1001372874
Caio Koch-Weser,1106322517
Tobias Köck,992518323
Francis Kruse,1079057379
Gottlob Johann Christian Kunth,1093387209
Dieter Kunzelmann,1109123229
Kurt Blaum,1112069971
Marianne Laqueur,1076451247
Charles Lavy,1074874230
Felix Lichnowsky,1077654837
Moriz Lieber,1027471881
Eduard von Liebert,1109188118
Ludwig von Lützow (politician),804957332
Carl Otto von Madai,1085599848
Wolfgang Mischnick,1112295425
Armin Mohler,1109261988
Max Montgelas,1068164318
Wolfgang Müller von Königswinter,1042527354
Joseph Musiol,1016666026
Theodor Olshausen,1113510313
Dietrich Heinrich Ludwig von Ompteda,1087370444
Max von Oppenheim,1094067330
Christian Friedrich von Otto,1012546526
Christian Theodor Overbeck,1098863553
Hans Paasche,1069647177
Walter von Saint Paul-Illaire,1084965273
Friedrich-Carl Peus,1008949457
H. Busso Peus,1005034968
Wolfgang Pfahl,1099833178
Franz Seraph von Pfistermeister,1107613099
Adolf Pilar von Pilchau,1063814286
Boris Pistorius,1068458723
Gunter Pleuger,1104322145
Eduard Puricelli,1096745331
Johan Rantzau,1115015874
Albrecht von Rechenberg,1113811454
Moritz Rittinghausen,1067085488
Wolfgang Roth (politician),1100825660
Eduard von Schele zu Schelenburg,785399343
Marco Scherbaum,1035698461
Paul Schiemann,1088399730
Ernst Wilhelm von Schlabrendorf,1001280832
Friedrich Gustav Carl Ulrich Franz von Schnehen,971361950
Andreas von Schoeler,1100044716
"Joachim, Count of Schönburg-Glauchau",1107354164
Peter Schott,1083058544
Günther Schwarz (politician),1096148976
"Adam, Count of Schwarzenberg",1081128413
Mignon Schwenke,1078055144
Veit Ludwig von Seckendorff,1060960076
Joachim Siegerist,1114262519
Paul Spiegel,1081789630
Baldur Springmann,1109697793
Ashok-Alexander Sridharan,1093387162
Gerhard Stahl,1106125356
Karl von Starck,1093387150
Gustav Adolf Steengracht von Moyland,1101443177
Henry Ernest of Stolberg-Wernigerode,952858312
Günter-Helge Strickstrack,1101202253
Anna Strohsahl,1072989611
Bertram von Sturm,1105328568
Heinrich Sudermann,1093940916
Anton Tausche,1019260550
Wolfgang Templin,1050277861
Stanislaw Trabalski,1113737373
Heinrich Voelter,1093387113
Hans-Karl von Unger,1070061609
Hellmuth Weiss,1092937402
Hugo Wesendonck,1016582283
Klaus Wiener,1096229854
Willi Brundert,1112014445
Ludwig Georg Winter,1062661561
Hermann Wittich,1011310804
Petra Zais,1056946262
Hans Ziegler (politician),1071469913
Nicolas Zippelius,1093385763
Yaw Owusu Addo,1065923425
Joseph Adjei Buadi,1061628478
Daniel Alolga Akata Pore,1073036835
Chris Bukari Atim,959224438
Ato Austin,1093114915
Kofi Batsa,1087765660
Larry Bimi,1098579767
George Boakye,1073797199
Nana Agyenim Boateng,1093130645
Alhaji Umar B. Bodinga,1093130635
Cornelius Dartey Tay,1114123502
Vincent Kwabena Damuah,1028775193
Daniel Buadi,1109993134
Dickson Adomako Kissi,1105487488
G. A. K. Dzansi,1070814156
Ekow Daniels,1113264331
Emmanuel Kwamina Crentsil,1109989757
Samuel Gyabaah,1107578600
J. E. Casely Hayford,1105203777
Hopeson Adorye,1115853944
Mariam Iddrisu,1106941716
John Kofi Barku Tettegah,1073037069
Agyen Kokobo,1103370225
Kofi Koranteng,1105318021
Ofusu Kwabi,1103370473
Dan Lartey,1073037101
Joshua Makubu,1077828963
Margaret Ocran,1114123721
John Mensah Sarbah,1105403308
Frederick Nanka-Bruce,1101467306
Nelson Kwami Maglo,1115083610
Matthew Opoku Prempeh,1115681263
Benjamin Quartey-Papafio,1107694631
Shani Alhassan Saibu,1093131797
John Hope Smith,1041213534
Sulemanu Kwame Tandoh,1113923144
John van der Puije,1075906576
Victoria Tagoe,1106274564
Nana Oye Mansa Yeboaa,1073037291
Sefis Anastasakos,1114739706
Avraam Vaporidis,1114426656
Christos Daralexis,1083450519
Alcibiades Diamandi,1114419735
Ali Dino,1100574549
Georgios Drys,1100415739
Asimakis Fotilas,1006771435
Spyridon Galinos,1089668131
Nasos Iliopoulos,1106592503
Ioannis Malachias,1114420316
Theophilos Kamberidis,1110970525
Stavros Karampelas,1104181536
Ioanna Karyofylli,1056916313
Giorgos Katiforis,1111751689
Yannis Katsafados,1104181599
Matthaios Kofidis,1102436898
Georgios Kourtoglou,1114426821
Failos Kranidiotis,1104132636
Nikolaos Makris,1111030855
Ismail Molla,1104133505
Yannis Moralis (politician),1100915111
Traianos Nallis,1114425452
Theodoros Negris,1102675411
Nicholas Yatromanolakis,1100089189
Alketas Panagoulias,1104856286
Yiannis Papadimitriou,1108494320
Alekos Papadopoulos,1107126511
Takis Papageorgopoulos,1105944213
Fotis Perlikos,1104133452
Avraham Rakanti,1072684407
Vassilis Rotas,1102118708
Neoklis Sarris,1104130544
Simos Simopoulos,1105193105
Sofoklis Avraam Choudaverdoglou-Theodotos,1114427010
Christos Stefanopoulos,1012908864
Fotini Dekazou Stefanopoulou,1098836353
Georgios Tertsetis,1104880784
Giannis Theonas,1098690964
Theofanis Tombras,1114952556
Eugenia Tsoumani-Spentza,1104132955
Nikolaos Tsourouktsoglou,1114427025
Spyridon Valettas,1110410508
Leonidas Varouxis,980510556
Nikitas Venizelos,1102875015
Lysandros Vilaetis,1109867368
Nikolaos Vilaetis,996226732
Anestis Vlahos,1111524798
Christos Zachopoulos,1104181728
Konstantinos Zervas,1115831578
Spiros Zournatzis,1110992544
Francis Alexis,1106131084
Gloria Banfield,1110309816
Michael Church,1081369594
George E. D. Clyne,1108379059
John Watts (Grenadian politician),1108378504
Aldana Sandoval,1016735357
Bernardo Arévalo,1094016150
Diego Arzú,994008639
Roberto Arzú,1115340042
Juan José de Aycinena y Piñol,1049450556
Mariano de Aycinena y Piñol,1102014820
José Francisco Barrundia,1103779590
Luis Batres Juarros,1112182409
José Batres Montúfar,1022252511
Óscar Berger,1089285349
Pedro Brolo,1081681567
Ricardo Bueso,940020310
Harold Caballeros,1099268106
Jafeth Cabrera,1099270690
Carlos Castillo Medrano,1015536139
Guillermo Castillo Reyes,1099268320
Álvaro Colom,1105560502
Manuel Conde Orellana,1101960386
Edwin Escobar Hill,1102909542
Rafael Espada,1104658241
Isaac Farchi,1079444582
Juan Alfonso Fuentes Soria,1099270758
Estuardo Galdámez,1079728548
Jorge García Granados,1005789513
Alejandro Giammattei,1114220020
Joaquín Méndez,994237073
Jonathan Menkos,1061130261
José Milla y Vidaurre,1096499032
Roberto Molina Barreto,988794061
Pedro Molina Mazariegos,1085227843
Luis Francisco Ortega Menaldo,1099693937
Manuel Francisco Pavón Aycinena,1112182125
Otto Pérez Molina,1109584660
Samuel Pérez Álvarez,1053436126
Guillermo Pineda,1113000081
Ramiro Ponce Monroy,1070637606
Alfonso Portillo,1108568192
Mariano Rivera Paz,1111971102
Rafael Spinola,1110719920
Eduardo Stein,1106098519
Manuel Villacorta,1099232298
Najib Roger Accar,1112725055
Thierno Aliou,1025501033
Mahmoud Bah,1049369237
Mamadou Boye Bah,1008440784
Fodé Bangoura,1009816783
Karim Bangoura,1073546958
Mafory Bangoura,1113979706
Barry III,1037294196
Alpha Oumar Barry,1100306971
Diawadou Barry,1112725061
Ibrahima Sory Barry,1112725057
Édouard Benjamin,1098226724
Balla Camara,1112725063
Bengaly Camara,1112725056
Damantang Camara,1112724242
Faraban Camara,1112725059
Sekou Benna Camara,1009820042
Zeinab Camara,1112724247
Fode Cisse,1112725062
Saliou Coumbassa,1112725065
Moussa Diakité,1073455560
Abdourahamane Diallo,1112725058
Boubacar Yacine Diallo,935484538
Mamadou Pathé Diallo,1073454394
Siradiou Diallo,1112724249
Yacine Diallo,1092557835
Lansana Diané,1063277893
Alioune Dramé,1112725064
K. Guilavogui,1112725060
Mory Sinkoun Kaba,1060639872
Tibou Kamara,1112725372
Fodéba Keïta,1067563243
N'Famara Keïta,1112725068
Dansa Kourouma,1101142891
Mohamed Mancona Kouyaté,1112725066
Édouard Niankoye Lamah,1112725069
Albert Liurette,1085978167
Achkar Marof,1101766150
Claude Pivi,1112725067
Dinah Salifou,1037922695
Koutoub Moustapha Sano,1093887825
Mamba Sano,1009816569
Aissata Mariama Soumah,1097485606
Ibrahima Abé Sylla,1107767553
Diallo Telli,1102824817
Abdoulaye Touré,1112724313
Ahmed Sékou Touré,1112724316
Facinet Touré,1098811499
Fode Mamadou Touré,1106179969
Ismaël Touré,1073451932
Elhadj Oumar Traoré,1096054747
Fatumata Djau Baldé,1107191100
Botche Candé,992221311
Juliano Fernandes,1015285975
Teodora Inácia Gomes,1060153270
Desejado Lima da Costa,1032053724
Aristide Menezes,962416187
Florentino Mendes Pereira,1050514853
Carmelita Pires,1106560808
Antony Beaujon,1106439867
Stephen Campbell,1013071843
John Carter (ambassador),1096498796
Peter D'Aguiar,1100463683
Roy Fredericks,1104523261
Rahman Baccus Gajraj,1096500129
Winifred Gaskin,1016837135
Joseph Harmon,1106715889
Rashleigh Jackson,1108864086
Manzoor Nadir,1114156655
Ubraj Narine,1087702811
Robert Persaud,1088025837
Jane Phillips-Gay,1073902299
Barton Scotland,1106310966
C. N. Sharma,1072664390
Alfred A. Thorne,1115788783
A. R. F. Webber,1083499032
Robert Victor Evan Wong,1028313429
President of Haiti,1098603555
Georges Anglade,1111159275
Paul Arcelin,1052181280
Rosalvo Bobo,1107825181
Jean-Fernand Brierre,1112520458
Luckner Cambronne,1105781428
Massillon Coicou,1101538289
Oswald Durand,1067767886
Evans Lescouflair,1109006283
Gérard Gourgue,1105537507
Ariel Henry,1114435824
Fernand Hibbert,1031557383
Jean-Chrisostôme Imbert,1071832914
Joseph Mécène Jean-Louis,1039764304
Jean Julme,999440341
Joseph Lambert (Haitian politician),1110088327
Lorimer Denis,1055857995
Robert Manuel (politician),1075518483
Frédéric Marcelin,1089181518
Alix Mathon,1099843841
Solon Ménos,1070020572
André Michel (lawyer),930327874
Jean-Baptiste Mills,1069328340
Jules Solime Milscent,983313495
Jovenel Moïse,1113925402
Émile Nau,1087180722
Septimus Rameau,1070020528
Jacques Roumain,1002408885
Philippe Thoby-Marcelin,1060022038
Pompée Valentin Vastey,949968312
Gary Victor,990782501
Yolani Batres,1071334890
Aníbal Delgado Fiallos,1068651655
Carlos Escaleras,1093553159
Miguel Andonie Fernández,1012110039
Carlos Zúñiga Figueroa,1103135544
Renato Florentino,1071709398
Justo Herrera,1104275912
Jorge Calix,1113134662
José Jeronimo Zelaya,1104227049
José María Martinez Salinas,1104275868
Salvador Nasralla,1079640409
Joaquín Rivera,1104815150
Agapito Robleda Castro,1093553141
Marlon Tábora Muñoz,1107416029
Carlos Urbizo,1093553119
José Cecilio del Valle,1107214451
József Ágoston,1096164722
Aladár Andrássy,1029640359
György Andrássy,1106173467
Károly Andrássy,1005483630
Manó Andrássy,1039437742
Antal Csárdi,1085489651
Tristan Azbej,1086787181
Tamás Bakócz,1018881597
Franz Anton Basch,1115783172
Stephen VII Báthory,1112141867
Stephen III Báthory,1018613046
Stephen V Báthory,1073751572
Balthasar Báthory,1030716598
Dávid Bélaváry,996927403
Elek Benedek,1108174366
Márton Berzeviczy,954524285
Farkas Bethlen,1084734713
János Bethlen,1089406731
Anett Bősz,1088547031
Zoltán Böszörmény,1105105606
Konrád Burchard-Bélaváry,1111271011
Giovanni de Ciotta,1113966081
Csaba Dömötör,1081915051
Csaba Gyüre,1099950064
Mihály Csáky,991458606
Zoltán Cséfalvay,1092659478
Bódog Czorda,987007445
Dávid Héjj,1082015552
Dénes Farkas,1099740366
Emil Dessewffy,1107106919
"Domonkos II, Archbishop of Esztergom",1049733138
John Drágfi,1066861570
Mónika Dunai,1096953638
György Ekrem-Kemál,934324691
László Endre,1111996740
Ferenc Esterházy (1715–1785),1057605988
Miksa Falk,1113602452
János Nepomuk Farkas,1074848253
József Farkas (politician),1096552572
András Fáy,992490805
Ferenc Gelencsér,1097675640
Lajos Fodor,1064277334
Péter Fülöp (diplomat),1009317517
János Fuzik,1112077989
József Gera,1074393115
János Ghyczy,1051406176
István Győrkös,1115836803
Miksa Hadik,1017820647
Franz Haller,1094144448
Anita Heringes,1095011115
Ottó Herman,1041794927
Sándor Hollán Jr.,1005483763
Sándor Hollán Sr.,1002589509
István Horthy,1110654449
Miklós Horthy Jr.,1112338065
Gábor Hraskó,1096973019
László Hunyady de Kéthely,1111996748
János Imreffy,785980963
Győző Istóczy,1105102717
István Bajkai,1085761831
Miklós Istvánffy,1088210316
Oszkár Jászi,1097299407
János Jeszenák,1012213335
Sándor Józan,898985019
Gergely Kálló,1085776518
Mihály Káthay,1081132162
Gyula Kautz,1074847604
István Kendi,942771137
Sándor Kendi,1081132167
Ferenc Kölcsey,1102334110
Orbán Kolompár,1005421327
Juraj Košút,1098001466
Farkas Kovacsóczy,1081132142
István Kovacsóczy,1089406791
